{'HIDDEN_DIM': 7300, 'sliced_time': 0.0019183274924755096, 'unsliced_time': 0.0029063624262809754, 'ratio': 0.6600441414769561}
{'HIDDEN_DIM': 7800, 'sliced_time': 0.0019003539979457855, 'unsliced_time': 0.0022705551028251647, 'ratio': 0.8369556834719615}
{'HIDDEN_DIM': 8300, 'sliced_time': 0.001915156364440918, 'unsliced_time': 0.002824042046070099, 'ratio': 0.678161420119798}
{'HIDDEN_DIM': 8800, 'sliced_time': 0.0018869193375110626, 'unsliced_time': 0.0023166137099266053, 'ratio': 0.8145161748053558}
{'HIDDEN_DIM': 9300, 'sliced_time': 0.0019005405843257905, 'unsliced_time': 0.004078056818246842, 'ratio': 0.46604073190496487}
{'HIDDEN_DIM': 9800, 'sliced_time': 0.0019360322594642637, 'unsliced_time': 0.0027628765404224395, 'ratio': 0.7007306447244463}
{'HIDDEN_DIM': 10300, 'sliced_time': 0.0018831984519958496, 'unsliced_time': 0.004596265935897827, 'ratio': 0.409723562182872}
{'HIDDEN_DIM': 10800, 'sliced_time': 0.001891720646619797, 'unsliced_time': 0.003406852835416794, 'ratio': 0.5552692581710428}
{'HIDDEN_DIM': 11300, 'sliced_time': 0.0018857873916625976, 'unsliced_time': 0.005510997444391251, 'ratio': 0.3421862214038648}
{'HIDDEN_DIM': 11800, 'sliced_time': 0.0019194091916084292, 'unsliced_time': 0.0036701218426227573, 'ratio': 0.5229824169098357}
{'HIDDEN_DIM': 12300, 'sliced_time': 0.0019149584591388702, 'unsliced_time': 0.006375775182247161, 'ratio': 0.30034911903276007}
{'HIDDEN_DIM': 12800, 'sliced_time': 0.0019051768362522126, 'unsliced_time': 0.0042421491920948025, 'ratio': 0.4491065141703381}
{'HIDDEN_DIM': 13300, 'sliced_time': 0.0018848922252655029, 'unsliced_time': 0.007393183118104934, 'ratio': 0.25495002560529706}
{'HIDDEN_DIM': 13800, 'sliced_time': 0.0018812505781650541, 'unsliced_time': 0.004900719261169434, 'ratio': 0.38387234157055977}
{'HIDDEN_DIM': 14300, 'sliced_time': 0.0018695785880088805, 'unsliced_time': 0.008721595287322999, 'ratio': 0.21436199759536512}
{'HIDDEN_DIM': 14800, 'sliced_time': 0.0019197886526584624, 'unsliced_time': 0.005677970522642135, 'ratio': 0.3381117681049752}
{'HIDDEN_DIM': 15300, 'sliced_time': 0.002180077415704727, 'unsliced_time': 0.00990673451423645, 'ratio': 0.22006014318561296}
{'HIDDEN_DIM': 15800, 'sliced_time': 0.001910596525669098, 'unsliced_time': 0.006238472038507461, 'ratio': 0.3062603332796541}
{'HIDDEN_DIM': 16300, 'sliced_time': 0.0020192957401275633, 'unsliced_time': 0.010717140173912048, 'ratio': 0.18841740495687342}
{'HIDDEN_DIM': 400, 'sliced_time': 0.0018674796521663665, 'unsliced_time': 0.0018542559146881104, 'ratio': 1.0071315600902264}
{'HIDDEN_DIM': 900, 'sliced_time': 0.0018925044059753418, 'unsliced_time': 0.002147447055578232, 'ratio': 0.8812810546641193}
{'HIDDEN_DIM': 1400, 'sliced_time': 0.0018787850141525268, 'unsliced_time': 0.0018597744762897492, 'ratio': 1.010221958686466}
{'HIDDEN_DIM': 1900, 'sliced_time': 0.0018723636507987976, 'unsliced_time': 0.0019040615797042849, 'ratio': 0.9833524665150745}
{'HIDDEN_DIM': 2400, 'sliced_time': 0.0021920759260654447, 'unsliced_time': 0.0018809171676635742, 'ratio': 1.1654292723524788}
{'HIDDEN_DIM': 2900, 'sliced_time': 0.0018644309043884277, 'unsliced_time': 0.0019003386020660401, 'ratio': 0.9811045791320695}
{'HIDDEN_DIM': 3400, 'sliced_time': 0.0018910866618156432, 'unsliced_time': 0.0018668797194957734, 'ratio': 1.0129665248741402}
{'HIDDEN_DIM': 3900, 'sliced_time': 0.0018831781804561614, 'unsliced_time': 0.0018782109200954438, 'ratio': 1.0026446765416874}
{'HIDDEN_DIM': 4400, 'sliced_time': 0.0018779921114444732, 'unsliced_time': 0.0018866132020950318, 'ratio': 0.9954303878288432}
{'HIDDEN_DIM': 4900, 'sliced_time': 0.0018985118091106414, 'unsliced_time': 0.001900890350341797, 'ratio': 0.9987487225495527}
{'HIDDEN_DIM': 5400, 'sliced_time': 0.0018866719007492065, 'unsliced_time': 0.0019310188829898833, 'ratio': 0.9770344129561217}
{'HIDDEN_DIM': 5900, 'sliced_time': 0.002167451971769333, 'unsliced_time': 0.0022535329282283786, 'ratio': 0.961801775611631}
{'HIDDEN_DIM': 6400, 'sliced_time': 0.002191388666629791, 'unsliced_time': 0.0018698052227497102, 'ratio': 1.171987670142008}
{'HIDDEN_DIM': 6900, 'sliced_time': 0.0019286538898944856, 'unsliced_time': 0.00249850190281868, 'ratio': 0.7719241228988774}
{'HIDDEN_DIM': 7400, 'sliced_time': 0.001901727283000946, 'unsliced_time': 0.0019436533212661743, 'ratio': 0.9784292611205397}
{'HIDDEN_DIM': 7900, 'sliced_time': 0.0019144295275211334, 'unsliced_time': 0.0028672625303268434, 'ratio': 0.6676854690745408}
{'HIDDEN_DIM': 8400, 'sliced_time': 0.001910783153772354, 'unsliced_time': 0.0022015703141689304, 'ratio': 0.867918295170897}
{'HIDDEN_DIM': 8900, 'sliced_time': 0.0018807240128517152, 'unsliced_time': 0.0036908709049224856, 'ratio': 0.5095610389253681}
{'HIDDEN_DIM': 9400, 'sliced_time': 0.0021751040101051326, 'unsliced_time': 0.002554527014493942, 'ratio': 0.8514703496044358}
{'HIDDEN_DIM': 9900, 'sliced_time': 0.0019045840084552764, 'unsliced_time': 0.004335761666297913, 'ratio': 0.4392732246469405}
{'HIDDEN_DIM': 10400, 'sliced_time': 0.0019096758365631105, 'unsliced_time': 0.003172400319576263, 'ratio': 0.6019655920404728}
{'HIDDEN_DIM': 10900, 'sliced_time': 0.001909381330013275, 'unsliced_time': 0.005220727294683456, 'ratio': 0.3657309072545696}
{'HIDDEN_DIM': 11400, 'sliced_time': 0.0018812208235263824, 'unsliced_time': 0.0034347459435462952, 'ratio': 0.5477030483320305}
{'HIDDEN_DIM': 11900, 'sliced_time': 0.001894605404138565, 'unsliced_time': 0.006032456433773041, 'ratio': 0.31406864267291046}
{'HIDDEN_DIM': 12400, 'sliced_time': 0.0021833770334720613, 'unsliced_time': 0.004002011781930923, 'ratio': 0.5455698664681611}
{'HIDDEN_DIM': 12900, 'sliced_time': 0.0019196287870407104, 'unsliced_time': 0.007063379120826722, 'ratio': 0.2717720165098586}
{'HIDDEN_DIM': 13400, 'sliced_time': 0.0018939582228660583, 'unsliced_time': 0.004574454522132874, 'ratio': 0.4140293041940629}
{'HIDDEN_DIM': 13900, 'sliced_time': 0.001927177268266678, 'unsliced_time': 0.008136258834600448, 'ratio': 0.23686282693848407}
{'HIDDEN_DIM': 14400, 'sliced_time': 0.0019065642416477202, 'unsliced_time': 0.005210386562347413, 'ratio': 0.3659160829688545}
{'HIDDEN_DIM': 14900, 'sliced_time': 0.0021986910700798035, 'unsliced_time': 0.009437023317813873, 'ratio': 0.23298565617925587}
{'HIDDEN_DIM': 15400, 'sliced_time': 0.0019362702310085297, 'unsliced_time': 0.005904661267995834, 'ratio': 0.3279223215569384}
{'HIDDEN_DIM': 15900, 'sliced_time': 0.002228918433189392, 'unsliced_time': 0.010358864164352418, 'ratio': 0.21517015744445112}
{'HIDDEN_DIM': 16400, 'sliced_time': 0.0019125345528125763, 'unsliced_time': 0.0066755024671554565, 'ratio': 0.286500463781199}

